strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k,net_excess_return_bps
"OBV(2,7,0.5,0,0)",2.0,7.0,0.5,0,0.0,False,-0.0223677727464263,0.2659528487206525,-0.2618992614597677,448,1.4326159803445255,2.8433939062298514,15.989017637773722,,,,,-0.03657375955515284
"OBV(7,10,0.1,2,2)",7.0,10.0,0.1,2,2.0,False,-0.0227137066663257,0.2619024035100643,-0.2659497066703559,648,1.4107972707420229,2.8433939062298514,10.885781410046471,,,,,-0.043261651871805154
"OBV(7,10,0.1,1,2)",7.0,10.0,0.1,1,2.0,False,-0.0227137066663257,0.2619024035100643,-0.2659497066703559,648,1.4107972707420229,2.8433939062298514,10.885781410046471,,,,,-0.043261651871805154
"OBV(7,10,0.1,0,2)",7.0,10.0,0.1,0,2.0,False,-0.0227137066663257,0.2619024035100643,-0.2659497066703559,648,1.4107972707420229,2.8433939062298514,10.885781410046471,,,,,-0.043261651871805154
"OBV(2,7,0.5,1,0)",2.0,7.0,0.5,1,0.0,False,-0.022797951504931,0.2609159871502687,-0.2669361230301514,440,1.4054837887059877,2.8433939062298514,15.971406689840768,,,,,-0.036750259977787414
"OBV(2,5,0.5,2,1)",2.0,5.0,0.5,2,1.0,False,-0.0231319219979566,0.257005605587745,-0.2708465045926752,366,1.384419635166928,2.8433939062298514,18.912836545996285,,,,,-0.03473770586401444
"OBV(2,7,0.5,2,0)",2.0,7.0,0.5,2,0.0,False,-0.0234461368296317,0.2533265384967756,-0.2745255716836445,430,1.364601508725,2.8433939062298514,15.86745940377907,,,,,-0.037081347382650474
"OBV(3,10,0.5,2,2)",3.0,10.0,0.5,2,2.0,False,-0.023520634027372,0.2524542814106571,-0.2753978287697631,334,1.3599028289188444,2.8433939062298514,20.35782678022222,,,,,-0.03411170454994937
"OBV(3,10,0.5,1,2)",3.0,10.0,0.5,1,2.0,False,-0.023520634027372,0.2524542814106571,-0.2753978287697631,334,1.3599028289188444,2.8433939062298514,20.35782678022222,,,,,-0.03411170454994937
"OBV(3,10,0.5,0,2)",3.0,10.0,0.5,0,2.0,False,-0.023520634027372,0.2524542814106571,-0.2753978287697631,334,1.3599028289188444,2.8433939062298514,20.35782678022222,,,,,-0.03411170454994937
"OBV(2,5,0.5,1,2)",2.0,5.0,0.5,1,2.0,False,-0.0235296116786136,0.252349164213948,-0.2755029459664722,316,1.3593365913975013,2.8433939062298514,21.50849037021363,,,,,-0.03354990594548321
"OBV(2,5,0.5,2,2)",2.0,5.0,0.5,2,2.0,False,-0.0235296116786136,0.252349164213948,-0.2755029459664722,316,1.3593365913975013,2.8433939062298514,21.50849037021363,,,,,-0.03354990594548321
"OBV(2,5,0.5,0,2)",2.0,5.0,0.5,0,2.0,False,-0.0235296116786136,0.252349164213948,-0.2755029459664722,316,1.3593365913975013,2.8433939062298514,21.50849037021363,,,,,-0.03354990594548321
"OBV(2,5,0.5,1,1)",2.0,5.0,0.5,1,1.0,False,-0.0235742786852149,0.2518261558684751,-0.2760259543119451,366,1.3565193584238455,2.8433939062298514,18.531685224369475,,,,,-0.035180062551272734
"OBV(2,5,0.5,0,1)",2.0,5.0,0.5,0,1.0,False,-0.0235742786852149,0.2518261558684751,-0.2760259543119451,366,1.3565193584238455,2.8433939062298514,18.531685224369475,,,,,-0.035180062551272734
"OBV(2,7,0.5,0,2)",2.0,7.0,0.5,0,2.0,False,-0.0236407644615789,0.2510477025534015,-0.2768044076270187,346,1.3523259741855875,2.8433939062298514,19.542282863953577,,,,,-0.03461235248796145
"OBV(2,7,0.5,1,2)",2.0,7.0,0.5,1,2.0,False,-0.0236407644615789,0.2510477025534015,-0.2768044076270187,346,1.3523259741855875,2.8433939062298514,19.542282863953577,,,,,-0.03461235248796145
"OBV(2,7,0.5,2,2)",2.0,7.0,0.5,2,2.0,False,-0.0236407644615789,0.2510477025534015,-0.2768044076270187,346,1.3523259741855875,2.8433939062298514,19.542282863953577,,,,,-0.03461235248796145
"OBV(2,7,0.5,2,1)",2.0,7.0,0.5,2,1.0,False,-0.0237368298775989,0.2499228824909254,-0.2779292276894947,390,1.3462669458729184,2.8433939062298514,17.25983263939639,,,,,-0.03610364875126709
"OBV(3,7,0.5,0,2)",3.0,7.0,0.5,0,2.0,False,-0.0237706034335229,0.2495274487386604,-0.2783246614417597,314,1.3441367835310378,2.8433939062298514,21.40345196705474,,,,,-0.03372747811642498
"OBV(3,7,0.5,2,2)",3.0,7.0,0.5,2,2.0,False,-0.0237706034335229,0.2495274487386604,-0.2783246614417597,314,1.3441367835310378,2.8433939062298514,21.40345196705474,,,,,-0.03372747811642498
"OBV(3,7,0.5,1,2)",3.0,7.0,0.5,1,2.0,False,-0.0237706034335229,0.2495274487386604,-0.2783246614417597,314,1.3441367835310378,2.8433939062298514,21.40345196705474,,,,,-0.03372747811642498
"OBV(2,7,0.5,0,1)",2.0,7.0,0.5,0,1.0,False,-0.0237777280515894,0.2494440154709896,-0.2784080947094305,390,1.3436874203328075,2.8433939062298514,17.226761799138558,,,,,-0.03614454692525759
"OBV(2,7,0.5,1,1)",2.0,7.0,0.5,1,1.0,False,-0.0237777280515894,0.2494440154709896,-0.2784080947094305,390,1.3436874203328075,2.8433939062298514,17.226761799138558,,,,,-0.03614454692525759
"OBV(5,10,0.5,0,0)",5.0,10.0,0.5,0,0.0,False,-0.0239742328923061,0.2471431869163921,-0.2807089232640281,326,1.3312934866696062,2.8433939062298514,20.418611758736294,,,,,-0.03431162507901335
