strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"CBc(5,0.01,0,0)",,,0.0,0,,True,0.31955292102821947,4.269788318176407,3.741936207995987,79723,22.998203786029606,2.8433939062298514,1.4423819842473067,5.0,0.01,,
"CBc(5,0.01,0.0005,0)",,,0.0005,0,,True,0.3191215424138592,4.264736099592631,3.736883989412211,58499,22.970995917202536,2.8433939062298514,1.9633665461975875,5.0,0.01,,
"CBc(5,0.04,0.00025,0)",,,0.00025,0,,True,0.3187404381376751,4.260272686415493,3.732420576235073,70445,22.946958946405477,2.8433939062298514,1.6287145252612305,5.0,0.04,,
"RSI(3,20,1,0)",,,,1,0.0,False,0.31779664326901697,4.249218076080389,3.721365965899969,114230,22.887432010828963,2.8433939062298514,1.001813534571871,3.0,,20.0,
"CBc(5,0.02,0,0)",,,0.0,0,,True,0.31741893004211347,4.244795480114722,3.716943369934302,81353,22.863608919953027,2.8433939062298514,1.4052099443138562,5.0,0.02,,
"CBc(5,0.02,0.0005,1)",,,0.0005,1,,True,0.31658569120874014,4.235036788777745,3.7071846785973253,59997,22.811054963578385,2.8433939062298514,1.9010162977797547,5.0,0.02,,
"SRc(5,0.0005,2,0)",,,0.0005,2,0.0,True,0.3160362565102549,4.2286019490054025,3.7007498388249824,60035,22.776401073218995,2.8433939062298514,1.8969268820870322,5.0,,,
"CBc(5,0.075,0.00025,0)",,,0.00025,0,,True,0.31547597988790776,4.222040136516811,3.694188026336391,70457,22.74106336212198,2.8433939062298514,1.613825692416792,5.0,0.075,,
"SRc(5,0.00025,1,0)",,,0.00025,1,0.0,True,0.3153518160702633,4.2205859632331135,3.6927338530526934,70341,22.73323211423189,2.8433939062298514,1.6159304043326004,5.0,,,
"MAc(2,3,0.0005,0,0)",2.0,3.0,0.0005,0,0.0,True,0.31419171941657825,4.2070035597146465,3.6791514495342263,94386,22.66006261410033,2.8433939062298514,1.2003932052476176,,,,
"CBc(5,0.04,0,1)",,,0.0,1,,True,0.31329192203036493,4.196461074586523,3.668608964406103,81025,22.603310683336822,2.8433939062298514,1.394835586753275,5.0,0.04,,
"CBc(5,0.02,0.0005,0)",,,0.0005,0,,True,0.3110993431683785,4.170782295889519,3.642930185709099,60035,22.465020568611504,2.8433939062298514,1.870993634430874,5.0,0.02,,
"MAc(2,5,0.0005,1,0)",2.0,5.0,0.0005,1,0.0,True,0.31045779724713307,4.163268426005929,3.6354163158255086,92442,22.424557048421303,2.8433939062298514,1.2128987391240618,,,,
"CBc(5,0.075,0,1)",,,0.0,1,,True,0.30957785513835584,4.152963163405352,3.625111053224932,81037,22.369057427730716,2.8433939062298514,1.3801755634914123,5.0,0.075,,
"MAc(2,5,0.00025,0,0)",2.0,5.0,0.00025,0,0.0,True,0.30792566404123506,4.133613022190768,3.6057609120103478,116226,22.264850596072222,2.8433939062298514,0.957825727293042,,,,
"CBc(5,0.04,0.0005,1)",,,0.0005,1,,True,0.307759175234518,4.131663473614641,3.6038113634342213,60155,22.25434983070385,2.8433939062298514,1.8497506300975688,5.0,0.04,,
"SRc(5,0.00025,0,0)",,,0.00025,0,0.0,True,0.30736307542090874,4.127024509814011,3.599172399633591,70457,22.229367062869862,2.8433939062298514,1.5775130265885478,5.0,,,
"CBc(5,0.04,0,0)",,,0.0,0,,True,0.3063543788782811,4.115211067706878,3.5873589575264577,81517,22.16574665540291,2.8433939062298514,1.3595781650087042,5.0,0.04,,
"BB(7,0.5,0,0)",,,,0,0.0,False,0.3060745819816692,4.111934203586035,3.584082093405615,100207,22.148099333519493,2.8433939062298514,1.10511737371239,7.0,,,0.5
"BB(7,0.5,2,0)",,,,2,0.0,False,0.30492899879631036,4.098517626026722,3.570665515846302,91331,22.07584522541086,2.8433939062298514,1.2085625486095006,7.0,,,0.5
"MAc(2,5,0.00025,1,0)",2.0,5.0,0.00025,1,0.0,True,0.3046902056893074,4.095720686288908,3.5678685761084883,115492,22.060784090445274,2.8433939062298514,0.9550784509076504,,,,
"MAc(2,5,0.0005,0,0)",2.0,5.0,0.0005,0,0.0,True,0.3040221767692956,4.087897031743076,3.5600449215626555,92606,22.018650237205186,2.8433939062298514,1.1888349695054956,,,,
"CBc(5,0.075,0.0005,1)",,,0.0005,1,,True,0.3039302509192473,4.086820737624431,3.558968627444011,60165,22.012852299183525,2.8433939062298514,1.8293735809177698,5.0,0.075,,
"MAc(2,5,0,0,0)",2.0,5.0,0.0,0,0.0,True,0.30278884261097766,4.073452795003657,3.545600684823237,148824,21.940861508505172,2.8433939062298514,0.7371412375861814,,,,
"CBc(5,0.075,0,0)",,,0.0,0,,True,0.3026403119862721,4.071713573427285,3.543861463246865,81529,21.931493399796807,2.8433939062298514,1.3450117994699313,5.0,0.075,,
"CBc(5,0.04,0.0005,0)",,,0.0005,0,,True,0.3018807940684582,4.0628184656087445,3.5349663554283244,60193,21.883589161636237,2.8433939062298514,1.8177852210087748,5.0,0.04,,
"MAc(3,5,0.00025,2,0)",3.0,5.0,0.00025,2,0.0,True,0.3017136967871234,4.060861206341274,3.533009096160854,101134,21.87305001861762,2.8433939062298514,1.0813895435075058,,,,
"SRc(5,0,1,0)",,,0.0,1,0.0,True,0.30146495067135687,4.057948312036725,3.530096201856305,81037,21.857361128478605,2.8433939062298514,1.348603793852105,5.0,,,
"MAc(2,5,0,1,0)",2.0,5.0,0.0,1,0.0,True,0.29978770327025356,4.038304946298425,3.5104528361180045,142556,21.751573948120956,2.8433939062298514,0.7629133094405341,,,,
"CBc(5,0.075,0.0005,0)",,,0.0005,0,,True,0.2981456821366542,4.019074767817718,3.4912226576372976,60203,21.64800855538469,2.8433939062298514,1.7979177578679375,5.0,0.075,,
